SURVEYR,BYCOND,descrip_E,descrip_F,DEMCODE,QUESTION,TITLE_E,TITLE_F,ANSWER1,ANSWER2,ANSWER3,ANSWER4,ANSWER5,ANSWER6,ANSWER7,MOST_POSITIVE_OR_LEAST_NEGATIVE,NEUTRAL_OR_MIDDLE_CATEGORY,MOST_NEGATIVE_OR_LEAST_POSITIVE,AGREE,SCORE5,SCORE100,ANSCOUNT,DEPT_E,DEPT_F,INDICATORID,INDICATORENG,INDICATORFRA,SUBINDICATORID,SUBINDICATORENG,SUBINDICATORFRA,FACTORS,QUES_TYPE
2022,Q106 = 1,Language requirement of position  - Bilingual,Exigences linguistiques du poste - Bilingue,1017,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",36,45,4,11,4,0,0,81,4,15,81,3.98,75,2580.0,Health Canada,Santé Canada,4,Workplace,Milieu de travail,14,Physical environment and equipment,Environnement physique et équipement,Language Requirement,1
2022,Q106 = 2,Language requirement of position  - Unilingual English,Exigences linguistiques du poste - Unilingue anglais,1018,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",40,45,3,9,3,0,0,85,3,12,85,4.1,78,2455.0,Health Canada,Santé Canada,4,Workplace,Milieu de travail,14,Physical environment and equipment,Environnement physique et équipement,Language Requirement,1
2022,Q106 = 3,Language requirement of position  - Unilingual French,Exigences linguistiques du poste - Unilingue français,1019,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",37,50,8,0,4,0,0,88,8,4,88,4.17,79,15.0,Health Canada,Santé Canada,4,Workplace,Milieu de travail,14,Physical environment and equipment,Environnement physique et équipement,Language Requirement,1
2022,Q106 = 4,Language requirement of position  - Either English or French,Exigences linguistiques du poste - L'une ou l'autre des deux langues officielles,1020,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",47,36,4,11,3,0,0,83,4,13,83,4.14,79,325.0,Health Canada,Santé Canada,4,Workplace,Milieu de travail,14,Physical environment and equipment,Environnement physique et équipement,Language Requirement,1
2022,Q112 = 1,First official language - English,Première langue officielle - Anglais,1054,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",39,44,3,10,4,0,0,83,3,14,83,4.04,76,4200.0,Health Canada,Santé Canada,4,Workplace,Milieu de travail,14,Physical environment and equipment,Environnement physique et équipement,Official Language,1
2020,Q112 = 1,First official language - English,Première langue officielle - Anglais,1054,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",38,46,3,10,2,0,0,85,3,12,85,4.09,77,3962.0,Health Canada,Santé Canada,4,Workplace,Milieu de travail,14,Physical environment and equipment,Environnement physique et équipement,Official Language,1
2022,Q112 = 2,First official language - French,Première langue officielle - Français,1055,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",38,44,5,9,4,0,0,83,5,13,83,4.05,76,1325.0,Health Canada,Santé Canada,4,Workplace,Milieu de travail,14,Physical environment and equipment,Environnement physique et équipement,Official Language,1
2020,Q112 = 2,First official language - French,Première langue officielle - Français,1055,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",38,46,5,8,2,0,0,84,5,10,84,4.11,78,1258.0,Health Canada,Santé Canada,4,Workplace,Milieu de travail,14,Physical environment and equipment,Environnement physique et équipement,Official Language,1
2022,Q113 = 1,Provides services to public,Fournit des services au public,1056,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",38,47,4,8,4,0,0,85,4,11,85,4.08,77,1095.0,Health Canada,Santé Canada,4,Workplace,Milieu de travail,14,Physical environment and equipment,Environnement physique et équipement,Public Service Availability,1
2020,Q113 = 1,Provides services to public,Fournit des services au public,1056,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",38,46,4,9,3,0,0,84,4,12,84,4.07,77,1180.0,Health Canada,Santé Canada,4,Workplace,Milieu de travail,14,Physical environment and equipment,Environnement physique et équipement,Public Service Availability,1
